Wall time,Step,Value
1592945924.995112,796,-114.66000366210938
1592945928.032516,799,-113.72000122070312
1592945932.078146,803,-112.77999877929688
1592945937.204065,808,-113.13999938964844
1592945938.248234,809,-112.58999633789062
1592945939.244938,810,-112.37999725341797
1592945945.170266,816,-110.81999969482422
1592945966.214208,833,-112.18000030517578
1592945971.173298,837,-112.0199966430664
1592945972.90819,839,-112.5
1592945979.826476,844,-113.52999877929688
1592946008.470203,868,-118.47000122070312
1592946010.715257,870,-118.80999755859375
1592946016.627801,875,-120.04000091552734
1592946018.403882,877,-119.75
1592946023.671814,881,-120.5999984741211
1592946025.303936,883,-120.23999786376953
1592946033.713393,891,-119.33999633789062
1592946039.840806,897,-119.79000091552734
1592946044.401791,901,-119.69000244140625
1592946050.975778,908,-119.26000213623047
1592946053.123354,910,-119.08999633789062
1592946058.364092,916,-118.95999908447266
1592946059.943228,918,-118.29000091552734
1592946062.34768,921,-118.0999984741211
1592946062.967821,922,-118.18000030517578
1592946064.381397,924,-117.4800033569336
1592946069.624515,932,-114.19000244140625
1592946070.354019,933,-114.16000366210938
1592946072.446097,936,-113.48999786376953
1592946077.223817,943,-111.91000366210938
1592946079.368571,946,-110.62999725341797
1592946085.469795,955,-109.18000030517578
1592946088.313873,959,-107.31999969482422
1592946090.324333,962,-105.95999908447266
1592946090.902949,963,-106.13999938964844
1592946097.268445,972,-104.88999938964844
1592946098.235085,973,-104.45999908447266
1592946102.570278,977,-104.56999969482422
1592946103.543273,978,-104.66999816894531
1592946104.685235,979,-104.0199966430664
1592946105.75276,980,-103.55000305175781
1592946109.341544,984,-103.5
1592946110.340408,985,-103.44999694824219
1592946114.075943,988,-103.26000213623047
1592946115.22245,989,-103.23999786376953
1592946124.955225,997,-103.4000015258789
1592946129.647999,1001,-103.62000274658203
1592946131.903208,1003,-103.63999938964844
1592946133.688299,1005,-103.66999816894531
1592946134.642732,1006,-103.55999755859375
1592946143.737196,1015,-103.93000030517578
1592946146.405822,1018,-103.86000061035156
1592946153.874976,1026,-103.83999633789062
1592946155.878593,1028,-104.16000366210938
1592946159.790252,1032,-104.37999725341797
1592946160.90786,1033,-104.27999877929688
1592946166.016889,1038,-104.36000061035156
1592946172.888585,1045,-104.52999877929688
1592946183.533126,1056,-104.81999969482422
1592946185.230231,1058,-104.83999633789062
1592946191.542712,1064,-104.88999938964844
1592946194.833314,1067,-104.94000244140625
1592946196.792799,1069,-105.20999908447266
1592946200.386489,1073,-105.02999877929688
1592946204.276609,1077,-105.11000061035156
1592946206.289793,1079,-105.13999938964844
1592946211.16745,1084,-105.33000183105469
1592946212.167031,1085,-105.3499984741211
1592946213.157088,1086,-105.56999969482422
1592946221.243876,1094,-105.36000061035156
1592946227.440518,1100,-104.62999725341797
1592946230.931404,1104,-104.61000061035156
1592946231.941788,1105,-104.5999984741211
1592946232.985812,1106,-104.75
1592946241.861301,1115,-104.5199966430664
1592946246.936114,1120,-105.01000213623047
1592946261.230506,1134,-105.47000122070312
1592946263.280215,1136,-105.5999984741211
1592946283.416657,1156,-105.80000305175781
1592946284.430693,1157,-105.77999877929688
1592946288.348657,1161,-105.87999725341797
1592946289.355932,1162,-105.87999725341797
1592946290.387574,1163,-105.9000015258789
1592946307.721048,1181,-105.9800033569336
1592946313.106536,1186,-105.55999755859375
1592946319.950892,1193,-105.33000183105469
1592946321.080692,1194,-105.38999938964844
1592946327.580931,1200,-105.4800033569336
1592946329.653788,1202,-105.68000030517578
1592946334.087184,1207,-105.37000274658203
1592946336.12811,1209,-105.44999694824219
1592946341.844565,1215,-105.05000305175781
1592946358.81564,1233,-103.6500015258789
1592946360.721971,1235,-103.5199966430664
1592946362.716242,1237,-103.54000091552734
1592946370.517319,1245,-103.62000274658203
1592946373.643892,1248,-103.72000122070312
1592946382.447862,1256,-104.12999725341797
1592946385.159875,1259,-104.0199966430664
1592946388.157775,1262,-103.86000061035156
1592946404.557942,1275,-107.0199966430664
1592946411.754558,1282,-108.08999633789062
1592946417.41164,1288,-108.88999938964844
1592946422.662765,1294,-108.88999938964844
1592946423.897744,1295,-109.48999786376953
1592946430.094193,1301,-110.54000091552734
1592946438.382972,1311,-111.23999786376953
1592946442.809599,1316,-112.2300033569336
1592946443.570522,1317,-112.48999786376953
1592946446.533319,1320,-113.61000061035156
1592946451.937812,1326,-115.27999877929688
1592946454.004605,1328,-115.29000091552734
1592946456.936416,1331,-116.79000091552734
1592946459.253133,1334,-117.22000122070312
1592946461.827956,1337,-117.27999877929688
1592946462.971462,1338,-117.83999633789062
1592946480.85847,1356,-119.94000244140625
1592946497.993039,1371,-120.80999755859375
1592946514.468654,1386,-120.41000366210938
1592946518.705307,1389,-120.43000030517578
1592946519.852287,1390,-121.06999969482422
1592946522.088534,1392,-121.26000213623047
1592946523.200873,1393,-121.37999725341797
1592946546.676729,1414,-122.44000244140625
1592946547.502769,1415,-122.22000122070312
1592946552.78716,1420,-120.5999984741211
1592946555.688418,1423,-119.45999908447266
1592946559.475036,1427,-118.81999969482422
1592946561.879343,1429,-117.88999938964844
1592946565.799608,1433,-117.55999755859375
1592946570.760839,1437,-117.37000274658203
1592946574.565264,1441,-116.66999816894531
1592946602.917726,1466,-116.45999908447266
1592946603.809305,1467,-115.62999725341797
1592946615.881023,1478,-116.37999725341797
1592946624.751213,1486,-114.79000091552734
1592946625.751559,1487,-114.8499984741211
1592946628.850257,1490,-113.5199966430664
1592946630.801292,1492,-113.63999938964844
1592946631.824099,1493,-113.61000061035156
1592946640.883282,1502,-112.37999725341797
1592946648.438377,1509,-111.69999694824219
1592946661.507983,1524,-112.0999984741211
1592946662.267939,1525,-112.1500015258789
1592946664.280317,1528,-112.23999786376953
1592946669.924895,1535,-112.08000183105469
1592946678.580361,1547,-109.86000061035156
1592946683.375176,1552,-111.62999725341797
1592946684.391741,1553,-111.79000091552734
1592946686.307633,1555,-111.1500015258789
1592946691.948686,1562,-109.58000183105469
1592946697.29908,1569,-109.7300033569336
1592946698.389346,1570,-110.22000122070312
1592946707.665765,1579,-112.30000305175781
1592946712.232119,1583,-113.38999938964844
1592946714.604272,1585,-113.51000213623047
1592946718.514577,1589,-113.72000122070312
1592946729.302548,1598,-116.08000183105469
1592946734.973761,1605,-117.12000274658203
1592946736.000113,1606,-116.9000015258789
1592946740.113278,1611,-118.4800033569336
1592946745.864922,1619,-117.31999969482422
1592946752.922824,1628,-118.93000030517578
1592946753.715004,1629,-119.04000091552734
1592946757.211325,1633,-120.01000213623047
1592946761.219786,1638,-119.97000122070312
1592946763.844053,1641,-120.80000305175781
1592946764.994049,1643,-121.06999969482422
1592946767.266685,1646,-120.9800033569336
1592946769.363385,1649,-121.56999969482422
1592946773.064514,1653,-120.81999969482422
1592946779.878188,1661,-122.37999725341797
1592946786.530955,1669,-123.51000213623047
1592946790.311098,1673,-123.58000183105469
1592946792.424401,1676,-123.02999877929688
1592946793.518157,1677,-123.04000091552734
1592946798.460896,1683,-123.05999755859375
1592946799.195083,1684,-123.06999969482422
1592946807.100882,1692,-125.72000122070312
1592946810.445676,1696,-124.48999786376953
1592946811.44056,1697,-124.69999694824219
1592946812.185875,1698,-124.66000366210938
1592946813.447684,1700,-123.9800033569336
1592946816.268908,1703,-123.66999816894531
1592946822.459377,1710,-124.88999938964844
1592946823.488852,1711,-124.93000030517578
1592946831.19326,1719,-127.91999816894531
1592946832.371597,1720,-127.4800033569336
1592946840.208923,1729,-128.25999450683594
1592946843.508476,1733,-127.5999984741211
1592946845.515297,1735,-128.11000061035156
1592946848.055149,1738,-128.77000427246094
1592946852.31506,1743,-129.25
1592946852.880467,1744,-129.86000061035156
1592946854.921344,1746,-129.99000549316406
1592946855.79846,1747,-130.35000610351562
1592946856.597433,1748,-130.5800018310547
1592946861.370592,1753,-130.82000732421875
1592946875.236431,1767,-132.3300018310547
1592946884.170903,1776,-134.33999633789062
1592946889.588071,1782,-133.4499969482422
1592946895.429079,1789,-133.6999969482422
1592946896.129133,1790,-133.60000610351562
1592946903.755623,1799,-132.6699981689453
1592946910.258575,1806,-134.41000366210938
1592946918.363319,1815,-132.52999877929688
1592946921.001759,1818,-133.17999267578125
1592946926.93158,1825,-133.2100067138672
1592946929.027691,1827,-133.66000366210938
1592946933.12804,1831,-135.19000244140625
1592946942.472952,1841,-136.4199981689453
1592946943.580974,1842,-135.66000366210938
1592946946.582581,1845,-137.07000732421875
1592946951.90589,1850,-138.3699951171875
1592946956.103859,1854,-137.24000549316406
1592946969.411088,1867,-138.25999450683594
1592946970.880392,1869,-136.9600067138672
1592946971.579521,1870,-136.35000610351562
1592946977.501467,1876,-134.88999938964844
1592946978.171348,1877,-135.1999969482422
1592946978.830819,1878,-135.08999633789062
1592946981.471485,1880,-134.27999877929688
1592946993.965485,1894,-134.9600067138672
1592947009.840565,1912,-134.55999755859375
1592947015.549123,1918,-135.77999877929688
1592947023.871058,1925,-136.52999877929688
1592947029.256809,1931,-135.47000122070312
1592947033.686912,1935,-135.4600067138672
1592947036.350957,1937,-135.52000427246094
1592947038.076236,1939,-135.02000427246094
1592947043.8209,1945,-135.0800018310547
1592947046.592617,1948,-134.36000061035156
1592947048.148913,1950,-132.92999267578125
1592947050.541458,1953,-133.22000122070312
1592947053.079276,1956,-132.27000427246094
1592947055.429757,1959,-131.49000549316406
1592947063.868472,1968,-133.3000030517578
1592947065.541393,1970,-134.08999633789062
1592947075.337556,1982,-135.02000427246094
1592947076.52203,1983,-134.8699951171875
1592947077.665101,1984,-135.49000549316406
1592947089.216525,1998,-134.32000732421875
1592947092.349225,2002,-134.1999969482422
1592947096.379435,2006,-134.3300018310547
1592947099.183545,2010,-133.38999938964844
1592947100.15771,2011,-133.3699951171875
1592947103.243553,2014,-133.24000549316406
1592947104.851614,2016,-133.32000732421875
1592947106.556234,2018,-132.33999633789062
1592947114.268761,2026,-130.55999755859375
1592947116.050966,2028,-131.8699951171875
1592947118.94348,2031,-131.44000244140625
1592947121.370079,2034,-130.55999755859375
1592947124.039638,2037,-129.97000122070312
1592947125.397992,2039,-128.85000610351562
1592947128.60862,2042,-128.6699981689453
1592947131.475055,2045,-128.14999389648438
1592947153.204275,2061,-131.42999267578125
1592947160.933526,2068,-130.02000427246094
1592947166.788989,2073,-128.97999572753906
1592947168.261068,2074,-129.41000366210938
1592947169.176952,2075,-129.50999450683594
1592947171.174086,2077,-129.1699981689453
1592947172.011648,2078,-128.97000122070312
1592947174.4055,2080,-129.0399932861328
1592947177.532501,2082,-129.13999938964844
1592947182.967808,2086,-130.05999755859375
1592947188.390766,2090,-130.0399932861328
1592947194.800566,2095,-130.69000244140625
1592947196.956164,2097,-131.61000061035156
1592947204.487134,2104,-129.8000030517578
